id	traderID	SourceCode	ExtraInfo	SourceDetails
1	506	BL/TD	NULL	NULL
2	507	JAL/BWK	NULL	NULL
3	508	RAMSDEN	NULL	NULL
4	508	PIGOT	39	NULL
5	509	BHSUS31	NULL	NULL
6	510	BL/APP	NULL	NULL
7	511	BL/Int	NULL	NULL
8	514	RAMSPROV	NULL	NULL
9	514	BL/WS	NULL	NULL
10	515	HUNT	NULL	NULL
11	515	WALLIS	NULL	NULL
12	515	MAXTED	NULL	NULL
13	515	PLOMER4	NULL	NULL
14	516	HUNT	NULL	NULL
15	516	WALLIS	NULL	NULL
16	516	O&B	NULL	NULL
17	517	ESTC	NULL	NULL
18	518	HUNT	NULL	NULL
19	518	WALLIS	NULL	NULL
20	519	HUNT	NULL	NULL
21	519	WALLIS	NULL	NULL
22	520	HUNT	NULL	NULL
23	520	WALLIS	NULL	NULL
24	520	ALEXANDER	NULL	NULL
25	520	WORJ	2286	NULL
26	521	HUNT	NULL	NULL
27	521	PLOMER4	NULL	NULL
28	522	MAXTED	NULL	NULL
29	523	BL/PB	NULL	NULL
30	525	PIGOT	39	NULL
31	526	UNDERHILL	NULL	NULL
32	527	BL/PR	NULL	NULL
33	528	BTNW2	NULL	NULL
34	529	ESTC	NULL	NULL
35	529	GOULDEN	NULL	NULL
36	530	MCKAY	NULL	NULL
37	530	GAVIN	NULL	NULL
38	531	BTNW2	NULL	NULL
39	532	CENSUS	1851	NULL
40	533	CENSUS	1851	NULL
41	535	DUFF	NULL	NULL
42	536	MAXTED	NULL	NULL
43	536	HUMPHRIES	NULL	NULL
44	537	MISC	NULL	NULL
45	538	RGSUS	NULL	NULL
46	539	IM.EWP7	NULL	NULL
47	540	EDWARDS	NULL	NULL
48	540	PIcat	NULL	NULL
49	540	BHSUS31	NULL	NULL
50	541	ESTC	NULL	NULL
51	541	PLOMER	NULL	NULL
52	541	PIcat	NULL	NULL
53	542	PLOMER4	NULL	NULL
54	543	ESTC	NULL	NULL
55	544	PIcat	NULL	NULL
56	545	PLOMER4	NULL	NULL
57	545	PIcat	NULL	NULL
58	546	JSE	NULL	NULL
59	546	PLOMER4	NULL	NULL
60	547	MCKAY	NULL	NULL
61	547	BTNWX	NULL	NULL
62	548	PIGOT	28	NULL
63	550	BTNW3	NULL	NULL
64	551	BTNW2	NULL	NULL
65	554	ESTC	NULL	NULL
66	554	MAXTED	NULL	NULL
67	555	CHETHAM	NULL	NULL
68	556	ESTC	NULL	NULL
69	557	ESTC	NULL	NULL
70	558	ESTC	NULL	NULL
71	559	ESTC	NULL	NULL
72	560	BL/PB	NULL	NULL
73	561	PIGOT	39	NULL
74	562	RGMID	NULL	NULL
75	563	RGMID	NULL	NULL
76	564	PLOMER1	NULL	NULL
77	564	STC	NULL	NULL
78	565	HOLDEN05	NULL	NULL
79	566	MAXTED	NULL	NULL
80	566	HOWE	NULL	NULL
81	567	STC	NULL	NULL
82	569	PLOMER1	NULL	NULL
83	569	STC	NULL	NULL
84	570	ESTC	NULL	NULL
85	571	BL/Cen	NULL	NULL
86	572	BAINES	NULL	NULL
87	573	ESTC	NULL	NULL
88	574	ESTC	NULL	NULL
89	575	BBS6	NULL	NULL
90	576	TODD	NULL	NULL
91	576	PIGOT	39	NULL
92	577	ESTC	NULL	NULL
93	577	DDM	17/5/1792	NULL
94	578	ESTC	NULL	NULL
95	579	BL/SR	NULL	NULL
96	580	COPSEY	NULL	NULL
97	581	COPSEY	NULL	NULL
98	583	IRI	63/24	NULL
99	584	PIcat	NULL	NULL
100	585	RAMSPROV	NULL	NULL
101	585	HUMPHRIES	NULL	NULL
102	586	WALLIS	NULL	NULL
103	587	HFRJ	5415	NULL
104	588	HOWECO	NULL	NULL
105	589	MYERSMS	NULL	NULL
106	590	RCSUR	NULL	NULL
107	591	HUNT	NULL	NULL
108	591	WALLIS	NULL	NULL
109	591	ESTC	NULL	NULL
110	592	BBS5	NULL	NULL
111	592	C&E1816	NULL	NULL
112	593	MAXTED	NULL	NULL
113	595	BTNW3	NULL	NULL
114	596	HUMPHRIES	NULL	NULL
115	597	MAXTED	NULL	NULL
116	598	PIGOT	39	NULL
117	599	ESTC	NULL	NULL
118	600	ESTC	NULL	NULL
119	601	BTNW2	NULL	NULL
120	602	BL/PP	NULL	NULL
121	603	HFRJ	2054	NULL
122	603	COPSEY/HALLAM	NULL	NULL
123	603	COPSEY	NULL	NULL
124	604	TODD	NULL	NULL
125	605	COPSEY	NULL	NULL
126	606	BHSUS40	NULL	NULL
127	607	JAL/BWK	NULL	NULL
128	609	STOKER	NULL	NULL
129	610	UNDERHILL	NULL	NULL
130	611	HOLDEN05	NULL	NULL
131	612	STOKERN	NULL	NULL
132	613	BTNW2	NULL	NULL
133	614	DER-CRO	NULL	NULL
134	615	KAM	NULL	NULL
135	616	PIGOT	39	NULL
136	617	TODD	NULL	NULL
137	618	PLOMER1	NULL	NULL
138	618	STC	NULL	NULL
139	619	BAINES	NULL	NULL
140	620	ESTC	NULL	NULL
141	621	MAXTED	NULL	NULL
142	622	ESTC	NULL	NULL
143	623	COPSEY/HALLAM	NULL	NULL
144	624	BL/PB	NULL	NULL
145	625	BHSUS11	NULL	NULL
146	626	MAXTED	NULL	NULL
147	511	TS	NULL	NULL
148	511	BAINES	NULL	NULL
149	626	HOLDEN05	NULL	NULL
150	608	ESTC	NULL	NULL
151	608	STOKERN	NULL	NULL
152	25565	BBS6	NULL	NULL
153	26899	BBS6	NULL	NULL
154	26915	BBS7	NULL	NULL
155	26954	BBS7	NULL	NULL
156	27368	BBS7	NULL	NULL
157	27369	BBS3+	NULL	NULL
158	27369	BBS7	NULL	NULL
159	27370	BBS7	NULL	NULL
160	27784	BBS6	NULL	NULL
161	28022	BBS4	NULL	NULL
162	28122	BBS6	NULL	NULL
163	28125	BBS5	NULL	NULL
164	28127	BBS6	NULL	NULL
165	28128	BBS5	NULL	NULL
166	28176	BBS4	NULL	NULL
167	28176	BBS5	NULL	NULL
168	28176	BBS7	NULL	NULL
169	28184	BBS6	NULL	NULL
170	28184	BBS7	NULL	NULL
171	28188	BBS7	NULL	NULL
172	28189	BBS7	NULL	NULL
173	28589	BBS7	NULL	NULL
174	29086	BBS7	NULL	NULL
175	29139	BBS7	NULL	NULL
176	29142	BBS7	NULL	NULL
177	29276	BBS7	NULL	NULL
178	29343	BBS3	NULL	NULL
179	29343	BBS5	NULL	NULL
180	29344	BBS3	NULL	NULL
181	29344	BBS5	NULL	NULL
182	29581	BBS6	NULL	NULL
183	29952	BBS7	NULL	NULL
184	31757	BBS2	NULL	NULL
185	36189	BBS3+	NULL	NULL
186	36522	BBS2	NULL	NULL
187	36522	BBS3	NULL	NULL
188	63664	BBS4	NULL	NULL
189	63664	BBS5	NULL	NULL
190	63664	BBS6	NULL	NULL
191	64562	BBS3	NULL	NULL
192	67624	BBS4	NULL	NULL
193	71153	BBS2	NULL	NULL
194	71153	BBS5	NULL	NULL
195	74420	BBS2	NULL	NULL
196	74420	BBS3	NULL	NULL
197	75746	BBS3+	NULL	NULL
198	31720	BBS3	NULL	NULL
199	34390	BBS3	NULL	NULL
200	37245	BBS3	NULL	NULL
201	39438	BBS3	NULL	NULL
202	43912	BBS3	NULL	NULL
203	45571	BBS6	NULL	NULL
204	48737	BBS3	NULL	NULL
205	59663	BBS3	NULL	NULL
206	59663	BBS5	NULL	NULL
207	60822	BBS3	NULL	NULL
208	60822	BBS5	NULL	NULL
209	62748	BBS5	NULL	NULL
210	63363	BBS3	NULL	NULL
211	63682	BBS3+	NULL	NULL
212	63683	BBS3+	NULL	NULL
213	63683	BBS5	NULL	NULL
214	64032	BBS3	NULL	NULL
215	64032	BBS5	NULL	NULL
